release_date,title,vote_average,studio,domestic_gross,foreign_gross,year,Total_Revenue
2010-11-12,London Boulevard,5.9,IFC,16100.0,4600000.0,2011,4616100.0
2010-07-30,Twelve,5.9,Hann.,184000.0,2400000.0,2010,2584000.0
2010-07-09,The Kids Are All Right,6.6,Focus,20800000.0,13900000.0,2010,34700000.0
2010-11-06,Don't Be Afraid of the Dark,5.5,FD,24000000.0,12900000.0,2011,36900000.0
2010-10-22,Stone,5.2,Over.,1800000.0,7700000.0,2010,9500000.0
2012-06-06,Stone,4.9,Over.,1800000.0,7700000.0,2010,9500000.0
2010-10-29,Welcome to the Rileys,6.5,Gold.,159000.0,158000.0,2010,317000.0
2010-09-03,Going the Distance,6.0,WB (NL),17800000.0,24200000.0,2010,42000000.0
2010-12-03,The Warrior's Way,6.1,Rela.,5700000.0,5400000.0,2010,11100000.0
2010-09-18,Last Night,6.1,Trib.,99000.0,7600000.0,2011,7699000.0
2010-01-22,Get Low,6.7,SPC,9200000.0,518000.0,2010,9718000.0
2010-03-19,The Runaways,6.4,App.,3600000.0,1100000.0,2010,4700000.0
2010-10-21,Paranormal Activity 2,5.7,Par.,84800000.0,92800000.0,2010,177600000.0
2010-08-27,Mesrine: Killer Instinct,7.4,MBox,552000.0,30500000.0,2010,31052000.0
2010-10-21,The Company Men,6.6,Wein.,4400000.0,441000.0,2011,4841000.0
2010-09-17,Alpha and Omega,5.4,LGF,25100000.0,25400000.0,2010,50500000.0
2010-10-22,Hereafter,5.9,WB,32700000.0,72500000.0,2010,105200000.0
2010-12-03,All Good Things,6.0,Magn.,582000.0,62500.0,2010,644500.0
2010-09-10,Dabangg,6.2,Eros,1300000.0,1700000.0,2010,3000000.0
2010-02-12,The Ghost Writer,6.8,Sum.,15500000.0,44700000.0,2010,60200000.0
2010-10-01,Inhale,6.1,IFC,4100.0,51000.0,2010,55100.0
2010-03-12,She's Out of My League,6.1,Par.,32000000.0,17800000.0,2010,49800000.0
2010-08-20,The Switch,6.1,Mira.,27800000.0,22100000.0,2010,49900000.0
2010-06-18,Cyrus,6.0,FoxS,7500000.0,2500000.0,2010,10000000.0
2010-12-28,Biutiful,7.2,RAtt.,5100000.0,20000000.0,2011,25100000.0
2010-02-11,The Red Baron,6.5,Mont.,37200.0,3100.0,2010,40300.0
2010-09-10,The Romantics,4.9,FOAK,107000.0,17300.0,2010,124300.0
2010-05-21,MacGruber,5.3,Uni.,8500000.0,797000.0,2010,9297000.0
2010-12-20,King of Devil's Island,7.3,FM,7600.0,4200000.0,2011,4207600.0
2010-12-22,Somewhere,6.1,Focus,1800000.0,12200000.0,2010,14000000.0
2010-03-26,Greenberg,5.9,Focus,4200000.0,1900000.0,2010,6100000.0
2010-12-22,Country Strong,6.3,SGem,20200000.0,310000.0,2010,20510000.0
2010-11-24,The Nutcracker in 3D,5.5,Free,195000.0,16000000.0,2010,16195000.0
2010-04-21,Oceans,7.2,BV,19400000.0,63200000.0,2010,82600000.0
2010-10-15,Conviction,7.2,FoxS,6800000.0,2900000.0,2010,9700000.0
2010-09-03,The Way Back,6.9,NM,2700000.0,17600000.0,2011,20300000.0
2010-07-23,Ramona and Beezus,6.3,Fox,26200000.0,1100000.0,2010,27300000.0
2010-12-30,Tamara Drewe,5.8,SPC,560000.0,11400000.0,2010,11960000.0
2010-11-19,Made in Dagenham,6.6,SPC,1100000.0,11300000.0,2010,12400000.0
2010-09-17,Catfish,6.8,Rog.,3200000.0,242000.0,2010,3442000.0
2010-09-24,Howl,6.8,Osci.,617000.0,566000.0,2010,1183000.0
2010-06-25,Restrepo,7.5,NGE,1300000.0,105000.0,2010,1405000.0
2010-01-27,Nowhere Boy,7.3,Wein.,1500000.0,5100000.0,2010,6600000.0
2010-04-27,The Killer Inside Me,5.9,IFC,217000.0,3800000.0,2010,4017000.0
2010-05-14,Just Wright,6.2,FoxS,21500000.0,29900.0,2010,21529900.0
2010-10-02,Shanghai,6.1,Wein.,46400.0,9200000.0,2015,9246400.0
2010-12-17,How Do You Know,5.1,Sony,30200000.0,18500000.0,2010,48700000.0
2010-07-30,Dinner for Schmucks,5.6,P/DW,73000000.0,13800000.0,2010,86800000.0
2010-10-11,Carlos,7.0,IFC,146000.0,726000.0,2010,872000.0
2010-10-01,Chain Letter,4.1,NFC,139000.0,447000.0,2010,586000.0
2010-04-16,The Joneses,6.2,RAtt.,1500000.0,5500000.0,2010,7000000.0
2016-04-28,The Joneses,6.0,RAtt.,1500000.0,5500000.0,2010,7000000.0
2010-09-10,I'm Still Here,6.0,Magn.,409000.0,160000.0,2010,569000.0
2010-03-19,Hubble 3D,7.1,WB,52400000.0,21500000.0,2010,73900000.0
2010-01-21,Extraordinary Measures,6.3,CBS,12100000.0,3100000.0,2010,15200000.0
2010-12-10,The Tempest,5.8,Mira.,278000.0,68700.0,2010,346700.0
2010-12-20,The Women on the 6th Floor,6.7,Strand,720000.0,22500000.0,2011,23220000.0
2010-11-05,Red Hill,6.1,Strand,21100.0,300000.0,2010,321100.0
2010-05-23,You Will Meet a Tall Dark Stranger,5.8,SPC,3200000.0,31000000.0,2010,34200000.0
2010-09-24,"Waiting for ""Superman""",7.0,ParV,6400000.0,9300.0,2010,6409300.0
2010-05-21,Kites,5.8,Relbig.,1600000.0,1300000.0,2010,2900000.0
2010-10-06,Kaboom,5.7,IFC,119000.0,421000.0,2011,540000.0
2010-09-17,Leaves of Grass,6.0,First,70100.0,949000.0,2010,1019100.0
2010-01-22,Please Give,6.3,SPC,4000000.0,280000.0,2010,4280000.0
2010-11-19,Guzaarish,7.6,UTV,1000000.0,695000.0,2010,1695000.0
2010-10-01,Freakonomics,6.6,Magn.,101000.0,16400.0,2010,117400.0
2010-12-03,Rare Exports: A Christmas Tale,6.5,Osci.,236000.0,3800000.0,2010,4036000.0
2010-04-09,When You're Strange,7.6,Abr.,246000.0,901000.0,2010,1147000.0
2011-08-19,The Last Circus,6.7,Magn.,40500.0,3200000.0,2011,3240500.0
2011-08-19,The Last Circus,6.7,Magn.,40500.0,3200000.0,2011,3240500.0
2010-05-07,Babies,7.0,Focus,7300000.0,2200000.0,2010,9500000.0
2010-11-05,Golmaal 3,5.4,Eros,1100000.0,935000.0,2010,2035000.0
2010-03-19,Vincere,6.5,IFC,619000.0,5100000.0,2010,5719000.0
2010-08-01,The Extra Man,5.9,Magn.,453000.0,4500.0,2010,457500.0
2010-03-12,Our Family Wedding,5.5,FoxS,20300000.0,1200000.0,2010,21500000.0
2010-09-09,Love Crime,6.5,IFC,540000.0,3100000.0,2011,3640000.0
2010-04-16,The Perfect Game,6.3,IW,1000000.0,2800000.0,2010,3800000.0
2010-11-11,How I Ended This Summer,6.1,FM,8700.0,614000.0,2011,622700.0
2010-07-23,Khatta Meetha,4.9,Eros,542000.0,499000.0,2010,1041000.0
